id,name,host_id,host_name,host_since_Year,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,accommodates,bedrooms
16361896,Unique ground-floor apartment with garden in West,15440492,Goos & Arno,2014,De Baarsjes - Oud-West,52.36641,4.85167,Entire home/apt,149,3,0,,,,,,,,,2,1
16374467,Awesome apartment on Vondelpark,107248677,San,2016,De Baarsjes - Oud-West,52.36066,4.87167,Entire home/apt,199,2,37,2019-11-11,4.72,4.53,4.42,4.92,4.92,4.67,4.22,4,1
16388616,Cosy floating HOUSEBOAT studio in 'De Jordaan',72546470,Tom,2016,Westerpark,52.38122,4.87973,Private room,92,3,115,2022-05-23,4.61,4.71,4.7,4.82,4.74,4.85,4.43,2,
16389105,Jordaan HOUSEBOAT studio with panoramic views,72546470,Tom,2016,Centrum-West,52.38101,4.87982,Private room,129,3,150,2022-05-28,4.71,4.8,4.74,4.86,4.88,4.82,4.54,2,
16391366,"ruime comfortabele studio,aan gracht,rand  jordaan",107372728,Magda,2016,Centrum-West,52.38351,4.88487,Entire home/apt,229,4,64,2022-03-23,5,4.98,4.97,5,4.97,4.95,4.75,2,1
16401000,Private Apartment near Amsterdam with garden,32022224,Ruud & Marije,2015,Bijlmer-Centrum,52.26995,4.97196,Entire home/apt,125,2,121,2022-05-16,4.81,4.78,4.74,4.93,4.84,4.72,4.62,4,1
16401179,Exclusive canal apartment at a romantic Brouwersgracht,107448990,Malou,2016,Centrum-West,52.38011,4.89189,Private room,203,1,87,2021-11-05,4.52,4.44,4.66,4.44,4.55,4.93,4.42,2,1
16401807,Romantic & cozy souterrain studio | City Centre,107448990,Malou,2016,Centrum-West,52.38005,4.8919,Entire home/apt,192,1,236,2022-05-27,4.55,4.71,4.6,4.62,4.68,4.94,4.44,2,1
16404688,Nice family home in the trendy Noord district,107474210,Marleen,2016,Oud-Noord,52.39306,4.93641,Entire home/apt,210,5,25,2021-08-14,5,5,4.96,5,5,4.92,4.84,5,3
16422457,Cosy deluxe spacious garden 'huis',471709,Rob,2011,Watergraafsmeer,52.35508,4.94035,Entire home/apt,190,3,28,2019-08-05,4.89,4.86,4.71,4.96,4.93,4.74,4.85,4,2
16425583,Macnificent family appartment in Amsterdam,17905452,David,2014,Zuid,52.35416,4.87901,Entire home/apt,260,4,7,2019-10-24,4.86,4.86,4.57,5,5,5,4.71,4,3
16438704,"Family appartment, 2 floors, 90m2, bath, roof view",12645774,Menno,2014,Bos en Lommer,52.37677,4.86097,Entire home/apt,260,5,36,2022-05-11,4.94,4.86,4.94,5,4.89,4.69,4.72,4,2
16459266,Cosy apt. in Adam south next to the Vondelpark,107982559,Narveet,2016,Zuid,52.35079,4.85324,Entire home/apt,150,1,22,2018-06-01,4.77,4.59,4.59,4.95,4.91,4.81,4.76,2,1
16486501,Apartment with sunny roofterrace in Amsterdam West,43445408,Mirjam,2015,Bos en Lommer,52.37756,4.8496,Entire home/apt,207,3,38,2022-05-05,4.86,4.84,4.73,4.81,4.89,4.62,4.62,4,2
16489841,spacious room near Amsterdam City and Schiphol,108279436,Paula,2016,Buitenveldert - Zuidas,52.3104,4.88003,Private room,73,2,83,2022-05-01,4.82,4.93,4.94,4.9,4.91,4.63,4.67,2,1
16523466,"Large city center apt, entertainment, quiet street",108655811,Luuk,2016,De Baarsjes - Oud-West,52.36599,4.87632,Entire home/apt,310,2,22,2022-05-16,4.45,4.64,4.05,4.77,4.77,4.77,4.41,2,1
16526188,"Modern, cozy apartment 5 min from city center",68332208,Marc,2016,Westerpark,52.37779,4.87329,Entire home/apt,90,2,18,2021-11-27,4.83,4.78,5,4.83,4.89,4.61,4.61,2,1
16526897,dream HOUSEBOAT dazzling 360° view SWIM & SUN deck,2978366,Frank & Jasmijn,2012,Oostelijk Havengebied - Indische Buurt,52.37597,4.94647,Private room,249,2,72,2022-05-29,4.89,4.88,4.82,4.97,4.94,4.74,4.67,4,1
16529838,Cosy Boho Apartment in Centre,3888605,Janna,2012,Westerpark,52.3832,4.87006,Entire home/apt,93,3,29,2020-03-03,4.96,4.93,4.93,4.82,4.96,4.82,4.79,2,1
16529952,Lovely apartment in the heart of Westerpark for 2,57009254,Marlies,2016,Westerpark,52.37901,4.87583,Entire home/apt,120,3,36,2021-12-23,4.83,4.94,4.44,4.97,5,4.94,4.8,2,1
16538401,Luxury guest room and bathroom in nr 1 district,83891777,Anna,2016,Zuid,52.35564,4.86494,Private room,160,1,25,2022-05-15,5,5,5,5,4.8,4.92,4.76,2,1
16539738,Amsterdam's industrial warehouse  appartment,2674028,Taco,2012,Oud-Noord,52.39363,4.91097,Entire home/apt,355,2,170,2022-05-15,4.58,4.58,4.38,4.74,4.7,4.43,4.35,12,2
16540398,Cute apartment in city center of Amsterdam,14195634,Anne,2014,De Baarsjes - Oud-West,52.36851,4.87315,Entire home/apt,122,3,8,2021-10-04,5,5,5,4.75,5,4.88,4.75,2,1
16553990,Renovated modern studio near Albert Cuyp Market,108990987,Irene,2016,De Pijp - Rivierenbuurt,52.35182,4.89662,Private room,153,1,112,2021-11-16,4.59,4.71,4.71,4.45,4.67,4.83,4.5,2,1
